rank,candidate_id,scenario,solar_kwh_m2_day,wind_m_s,dist_grid_km,dist_demand_km,connection_cost_brl,is_restricted,restriction_factor,score_final,longitude,latitude
1,2033,eolico,6.346014499664307,8.935543060302734,11.954364169381355,493.13803588361174,14345237.003257627,False,1.0,0.9504282525094212,-39.325663010827114,-8.553834994719768
2,2333,eolico,6.28531551361084,8.858487129211426,116.90754443844952,244.58263288584973,140289053.32613942,False,1.0,0.9356207683684143,-37.056886975654486,-8.464921831609905
3,2151,eolico,6.16187047958374,8.950993537902832,121.417515927259,415.0782628356844,145701019.1127108,False,1.0,0.931937353718028,-38.37995165219812,-9.391189844654358
4,2275,eolico,6.429182052612305,8.769181251525879,66.73051307514758,298.400621381184,80076615.6901771,False,1.0,0.9304946889247623,-37.5465952812643,-7.615506060479552
5,2093,eolico,5.836954593658447,8.743783950805664,9.630785054649074,443.297000677866,11556942.06557889,False,1.0,0.9278904609223952,-38.87182841659612,-8.536931160711816
6,2032,eolico,6.132548809051514,8.797107696533203,33.14642665490838,499.4100869847067,39775711.98589006,False,1.0,0.9243531628595099,-39.308090898269036,-8.991442971616252
7,2394,eolico,6.41549015045166,8.793743133544922,151.847270783217,192.1521796319104,182216724.9398604,False,1.0,0.9221923737380519,-36.62267607844389,-8.013797199359967
8,2216,eolico,6.341787338256836,8.781009674072266,92.26743608558498,359.84789831108526,110720923.30270196,False,1.0,0.9199275191820991,-38.0155286205566,-7.196798366653856
9,1852,eolico,6.488524436950684,8.849858283996582,31.60902101718292,647.6334687595565,37930825.2206195,False,1.0,0.9185380470061971,-40.67132923771551,-9.041919136917384
10,2153,eolico,6.156174659729004,8.667998313903809,31.215934278679505,393.4963013610643,37459121.1344154,False,1.0,0.9160352285931184,-38.41803270615839,-8.51958201854341
11,1913,eolico,5.325046062469482,8.817503929138184,55.124662617442226,592.9004180176087,66149595.140930675,False,1.0,0.9129439245389159,-40.23344542613462,-8.58628390011277
12,2332,eolico,6.222609996795654,8.756869316101074,148.12867684725575,256.9941183301679,177754412.2167069,False,1.0,0.9117399648105505,-37.036881594586674,-8.897911424898165
13,2396,eolico,6.2845458984375,8.775104522705078,177.50530056460366,222.4226495738282,213006360.6775244,False,1.0,0.9100926436039363,-36.658367965635506,-7.149537308860049
14,2336,eolico,5.703938961029053,8.716532707214355,137.27046686361936,266.72968838994353,164724560.23634323,False,1.0,0.9077641962648112,-37.11072512777774,-7.1656488296920715
15,2030,eolico,5.774623870849609,8.837044715881348,123.34800830348789,526.1758832138967,148017609.96418548,False,1.0,0.9045450434728854,-39.27020084177779,-9.8665207895415
16,2095,eolico,6.795928478240967,8.698725700378418,80.57079659393044,446.16320524684676,96684955.91271652,False,1.0,0.9029295593065358,-38.90516672534776,-7.663339493808184
17,2150,eolico,6.563109874725342,8.833906173706055,166.51830675154878,434.18345987107284,199821968.10185853,False,1.0,0.9016353389769705,-38.35945891589756,-9.826917437756498
18,1853,eolico,6.66641902923584,8.805684089660645,76.70981184147266,642.8093008899368,92051774.2097672,False,1.0,0.9010396947624475,-40.68739147012156,-8.601817855723457
19,1971,eolico,6.271623611450195,8.705399513244629,56.66206825516772,558.8458098206988,67994481.90620126,False,1.0,0.8994862476970173,-39.744502366455556,-9.447170066768214
20,1730,eolico,5.679187297821045,8.752163887023926,15.422262183335729,765.000338693844,18506714.620002873,False,1.0,0.8975540667521733,-41.547927537343156,-9.956296060231889
21,2089,eolico,6.337068557739258,8.877825736999512,190.03394835180808,501.4114886973531,228040738.02216968,False,1.0,0.8956962587676681,-38.79390244383355,-10.283557269658662
22,2452,eolico,5.831676006317139,8.722249031066895,228.6307201923382,166.43375140274753,274356864.2308058,False,1.0,0.8945757667247455,-36.12871771206193,-8.857352916388463
23,1790,eolico,6.234024524688721,8.729351043701172,37.00741140736616,716.6258623413906,44408893.6888394,False,1.0,0.8932427288898099,-41.09228741417968,-9.939421563376454
24,2276,eolico,6.682258605957031,8.581718444824219,105.72715080518233,312.7580826993137,126872580.9662188,False,1.0,0.8919999619397336,-37.56311218936628,-7.181404248363669
25,2094,eolico,5.744207859039307,8.53962516784668,35.47000576964068,441.91279486236414,42564006.923568815,False,1.0,0.891816039486488,-38.888961970102635,-8.10015655574909
26,1973,eolico,5.867928504943848,8.588193893432617,33.53951339341178,543.0083001762501,40247416.072094135,False,1.0,0.8899003184846864,-39.779535639237494,-8.570287781160866
27,2096,eolico,6.21241569519043,8.681685447692871,125.67158741822017,455.8906592256678,150805904.9018642,False,1.0,0.8880035815811314,-38.92044737611185,-7.226482338147662
28,2029,eolico,6.239840030670166,8.807998657226562,168.44879912777762,545.9728680281195,202138558.95333314,False,1.0,0.8869379473247716,-39.24987176904313,-10.303986008099724
29,2455,eolico,6.581765651702881,8.59453296661377,206.0286711649503,154.99759986920307,247234405.39794037,False,1.0,0.8829219489702091,-36.18832160780285,-7.5642233637369465
30,1970,eolico,6.774799346923828,8.678587913513184,101.76285907945747,573.1788130252885,122115430.89534897,False,1.0,0.8827136776411837,-39.7256489155576,-9.885543948807888
31,2155,eolico,6.306262016296387,8.479375839233398,58.98564736989999,396.7224648176424,70782776.84388,False,1.0,0.8812872650072209,-38.45227752210639,-7.64778731570571
32,1910,eolico,6.403961658477783,8.656282424926758,80.17770985542703,620.6503390204771,96213251.82651243,False,1.0,0.8805705380938994,-40.18114684568589,-9.904039357113017
33,2393,eolico,6.0068135261535645,8.517476081848145,162.27237781644266,195.31454806086506,194726853.37973118,False,1.0,0.8791890507735287,-36.60325476375894,-8.445851077146841
34,2213,eolico,6.188986301422119,8.41131591796875,52.80108350270994,343.75346916021533,63361300.203251936,False,1.0,0.8779577334991344,-37.964276702708716,-8.501793422464043
35,1968,eolico,6.202882766723633,8.826760292053223,191.96444072803695,613.1758123042124,230357328.87364435,False,1.0,0.8773551444325485,-39.68524051972863,-10.762146098019493
36,2271,eolico,5.671492576599121,8.587965965270996,164.5878143753199,322.4037546747567,197505377.25038388,False,1.0,0.876933704021275,-37.47049198393459,-9.3514342704086
37,1793,eolico,5.968945026397705,8.707197189331055,98.29496106550307,692.7313252161792,117953953.27860369,False,1.0,0.876573825405201,-41.141372844505696,-8.616884280736127
38,2154,eolico,6.516307830810547,8.359994888305664,13.88485654561024,391.9362532835047,16661827.854732288,False,1.0,0.8759802702683998,-38.435632065734666,-8.08370678603389
39,1914,eolico,6.047066688537598,8.6397066116333,100.22545344173197,591.8661952996886,120270544.13007836,False,1.0,0.8757257239597835,-40.24915812098262,-8.146950463530137
40,2513,eolico,5.858748912811279,8.600403785705566,258.19029012213224,99.00499701485364,309828348.1465587,False,1.0,0.8756511567782453,-35.69611921704406,-8.406470977075488
41,2218,eolico,5.843305587768555,8.679191589355469,192.2597665816386,402.5417802229393,230711719.8979663,False,1.0,0.8755797765810905,-38.0448420438909,-6.3265927218755476
42,1788,eolico,5.798006534576416,8.786288261413574,127.20899305594565,749.0015031162445,152650791.6671348,False,1.0,0.8753740746226346,-41.0554767657109,-10.820907502374254
43,2334,eolico,6.671096324920654,8.41338062286377,101.94431317507306,242.0647677016388,122333175.81008768,False,1.0,0.8751791297646541,-37.07585914735003,-8.031879676009497
44,2211,eolico,6.6732869148254395,8.564970016479492,143.00266515128945,368.26223354226147,171603198.18154734,False,1.0,0.8748412618557446,-37.925197079065406,-9.371551241643933
45,2212,eolico,6.123363018035889,8.46615219116211,97.90187432699967,352.6921605403346,117482249.1923996,False,1.0,0.8735223386806229,-37.94523161750909,-8.936697946305221
46,2270,eolico,6.092217922210693,8.656559944152832,209.68860519960964,346.654718091802,251626326.23953158,False,1.0,0.8730610094378782,-37.44893001859391,-9.785283092212028
47,2149,eolico,5.466191291809082,8.727046012878418,211.6190975758385,457.97444183332055,253942917.09100622,False,1.0,0.8723775658461226,-38.3379901849887,-10.262590790273949
48,2330,eolico,5.836287021636963,8.662296295166016,231.28243949833302,305.772140572277,277538927.39799964,False,1.0,0.8721847696383468,-36.993748095333494,-9.763721668839679
49,1975,eolico,6.172796249389648,8.621150970458984,123.74109504199129,545.3507027284816,148489314.05038956,False,1.0,0.8713633539638522,-39.811037991445964,-7.693240767766295
50,1850,eolico,6.005422592163086,8.54703426361084,58.59256063139658,668.4906393895036,70311072.7576759,False,1.0,0.86579257600549,-40.63669342549971,-9.92200063784726
51,2273,eolico,6.720600605010986,8.328137397766113,77.47530762154992,294.0978679530485,92970369.1458599,False,1.0,0.8642266107981367,-37.510561202716666,-8.483571336877231
52,2278,eolico,5.8145318031311035,8.585570335388184,199.06975787798714,361.0636968734171,238883709.45358458,False,1.0,0.8641447030635832,-37.593169243593344,-6.3130755548214665
53,1909,eolico,5.824554920196533,8.612945556640625,125.2785006797168,637.5203180081079,150334200.81566015,False,1.0,0.8611658887125369,-40.16197661062071,-10.343202532069542
54,2267,eolico,5.723053932189941,8.863879203796387,344.9909776724789,445.92087999563864,413989173.2069747,False,1.0,0.8591876565146352,-37.37805923074643,-11.086466061670784
55,2274,eolico,5.980312824249268,8.24569034576416,52.227314052736006,292.00726598426064,62672776.86328321,False,1.0,0.8589374626786844,-37.52907995049793,-8.049562646681391
56,2268,eolico,6.013380527496338,8.750205039978027,299.8901868481891,409.4143606044599,359868224.2178269,False,1.0,0.8576724761167462,-37.40272032433792,-10.652801755399995
57,1977,eolico,6.568389892578125,8.69655704498291,213.94267669057078,565.6472079596936,256731212.02868494,False,1.0,0.8573003179129233,-39.83904633202991,-6.816046417973774
58,1791,eolico,5.281481742858887,8.422136306762695,8.093379416923577,705.2143745199866,9712055.300308293,False,1.0,0.857188436173197,-41.109461482762796,-9.498614987617298
59,2028,eolico,6.376927375793457,8.695846557617188,213.54958995206738,569.4837005303806,256259507.94248086,False,1.0,0.8569394127497707,-39.228612101270016,-10.741398992823948
60,2517,eolico,6.337043285369873,8.576757431030273,289.07317772804197,186.8173954593287,346887813.27365035,False,1.0,0.8561097730340771,-35.77076895130742,-6.6860963560168285
61,2098,eolico,6.492695331573486,8.640938758850098,215.87316906679965,490.2914113824164,259047802.8801596,False,1.0,0.8557885983007771,-38.94825375453564,-6.352657137905193
62,2269,eolico,6.362609386444092,8.633096694946289,254.7893960238994,376.0250073096638,305747275.2286793,False,1.0,0.8553682429297709,-37.42634163980989,-10.219073172984292
63,2217,eolico,5.871145248413086,8.434100151062012,142.26225361604827,378.5038934700397,170714704.33925793,False,1.0,0.8551069927052213,-38.030667807717045,-6.7617147411023995
