rank,candidate_id,scenario,solar_kwh_m2_day,wind_m_s,dist_grid_km,dist_demand_km,connection_cost_brl,is_restricted,restriction_factor,score_final,longitude,latitude
1,3100,hibrido,6.9881367683410645,8.579570770263672,16.271394014187447,503.11002848301206,19525672.817024935,False,1.0,0.9174935800332794,-39.41643452142374,-8.557161817400651
2,3250,hibrido,6.795928478240967,8.698725700378418,53.89642057460236,423.8898136129819,64675704.68952283,False,1.0,0.9033047941253587,-38.71756702409254,-7.83175558144366
3,3326,hibrido,7.292463779449463,8.002930641174316,109.20793490296376,400.97850404933615,131049521.88355651,False,1.0,0.9019086724713119,-38.38052426986483,-7.121689382886399
4,2878,hibrido,6.66641902923584,8.805684089660645,68.07575215186048,622.843993838383,81690902.58223258,False,1.0,0.8837376457118649,-40.50580876042272,-8.595660079517343
5,3022,hibrido,6.774799346923828,8.678587913513184,110.78301724431542,576.5232122043864,132939620.6931785,False,1.0,0.8818852509688111,-39.72177058307344,-9.97321306118493
6,3174,hibrido,6.346014499664307,8.935543060302734,0.9967253650369005,463.2293033261753,1196070.4380442805,False,1.0,0.8797836176442438,-39.05335763522341,-8.543746455323634
7,2876,hibrido,6.488524436950684,8.849858283996582,4.085513167003117,632.688818247667,4902615.80040374,False,1.0,0.8791470043951473,-40.47937807471569,-9.299290849248049
8,3548,hibrido,6.682258605957031,8.581718444824219,130.85203330154326,289.0827231248401,157022439.96185192,False,1.0,0.8786280070329112,-37.29490729116685,-7.085283368192237
9,3025,hibrido,6.416822910308838,8.875386238098145,2.5411192660200137,547.2095248603057,3049343.1192240166,False,1.0,0.8783934586872988,-39.765948252331306,-8.921061443001676
10,3842,hibrido,6.691608428955078,8.65677547454834,242.67193131800576,110.34522048489673,291206317.5816069,False,1.0,0.8744714563987728,-35.818649066936246,-7.7221015671802915
11,3546,hibrido,6.429182052612305,8.769181251525879,84.62756141927562,265.1967588119329,101553073.70313075,False,1.0,0.8740678692992978,-37.26792875303665,-7.778918592715952
12,3325,hibrido,6.570101261138916,8.5618314743042,72.7089338548098,390.59443256040436,87250720.62577176,False,1.0,0.8707394368563893,-38.36812933569061,-7.470322602181111
13,3619,hibrido,6.41549015045166,8.793743133544922,122.93725815449606,221.74593033869147,147524709.78539526,False,1.0,0.8699197356246866,-36.89083405590706,-8.111228315412703
