rank,candidate_id,scenario,solar_kwh_m2_day,wind_m_s,dist_grid_km,dist_demand_km,connection_cost_brl,is_restricted,restriction_factor,score_final,longitude,latitude
1,2156,solar,7.292463779449463,8.002930641174316,104.08643819418974,407.6314530848418,124903725.83302769,False,1.0,0.9467714617407745,-38.46797387221944,-7.211826071329411
2,823,solar,6.793065547943115,6.460748672485352,7.350559592907516,282.19012636499286,8820671.511489019,False,1.0,0.8869244944605232,-48.32296963778765,-13.288845450787804
3,2338,solar,7.033895492553711,7.8050384521484375,217.4711915568926,322.0156852930372,260965429.8682711,False,1.0,0.8844214072372465,-37.14151904935201,-6.299241032345936
4,2456,solar,6.854578495025635,8.331902503967285,221.75004483450402,181.10478574098363,266100053.80140483,False,1.0,0.862738454396033,-36.206041213351796,-7.133074965049398
5,2095,solar,6.795928478240967,8.698725700378418,80.57079659393044,446.16320524684676,96684955.91271652,False,1.0,0.8594996751774787,-38.90516672534776,-7.663339493808184
6,2273,solar,6.720600605010986,8.328137397766113,77.47530762154992,294.0978679530485,92970369.1458599,False,1.0,0.8588257581711679,-37.510561202716666,-8.483571336877231
7,2638,solar,7.026734352111816,8.137218475341797,400.7723448980056,212.9075936855528,480926813.8776067,False,1.0,0.8548604909198381,-34.8836209446687,-6.225469999645297
8,2334,solar,6.671096324920654,8.41338062286377,101.94431317507306,242.0647677016388,122333175.81008768,False,1.0,0.8491885192252938,-37.07585914735003,-8.031879676009497
9,1187,solar,6.74052619934082,7.3335466384887695,43.5417083600689,544.9885518381616,52250050.032082684,False,1.0,0.8491328685332135,-45.61329769039402,-11.424334849752904
10,1245,solar,6.741289138793945,7.4650444984436035,68.245022512541,489.49560579664103,81894027.0150492,False,1.0,0.848728868782948,-45.126289020871546,-12.304265327607068
11,2276,solar,6.682258605957031,8.581718444824219,105.72715080518233,312.7580826993137,126872580.9662188,False,1.0,0.8447554918850791,-37.56311218936628,-7.181404248363669
12,1970,solar,6.774799346923828,8.678587913513184,101.76285907945747,573.1788130252885,122115430.89534897,False,1.0,0.8412505531171155,-39.7256489155576,-9.885543948807888
13,2451,solar,6.771040439605713,8.44417953491211,256.0209701832213,197.29547930177608,307225164.21986556,False,1.0,0.8395554626253807,-36.10668277792728,-9.28828085372858
14,341,solar,6.658775806427002,5.696568489074707,75.1290525507564,475.615993580508,90154863.06090768,False,1.0,0.8336725284775153,-52.006800358789995,-14.24769075904805
15,2211,solar,6.6732869148254395,8.564970016479492,143.00266515128945,368.26223354226147,171603198.18154734,False,1.0,0.831168741935024,-37.925197079065406,-9.371551241643933
16,2154,solar,6.516307830810547,8.359994888305664,13.88485654561024,391.9362532835047,16661827.854732288,False,1.0,0.827236250267352,-38.435632065734666,-8.08370678603389
17,1732,solar,6.736138343811035,7.876728534698486,74.77931946524377,746.8432855076386,89735183.35829253,False,1.0,0.825852486300041,-41.58035217902857,-9.073120763831847
18,2400,solar,6.8472700119018555,8.359128952026367,329.25553586381443,366.8386359910008,395106643.03657734,False,1.0,0.8248215517283425,-36.717283173278425,-5.420489166628192
19,1183,solar,6.6340789794921875,7.496920108795166,136.8614549370901,381.19200905817956,164233745.9245081,False,1.0,0.824350179579116,-45.55588247505547,-13.212831426437452
20,2695,solar,6.787610054016113,7.956387042999268,403.8658390657624,85.63112439175386,484639006.87891483,False,1.0,0.8216119335919708,-34.37777979299468,-7.490743282563882
21,1853,solar,6.66641902923584,8.805684089660645,76.70981184147266,642.8093008899368,92051774.2097672,False,1.0,0.8213167417111557,-40.68739147012156,-8.601817855723457
22,1978,solar,6.8372697830200195,7.971555709838867,259.0434675148605,582.0064014473301,310852161.0178326,False,1.0,0.81996118864478,-39.8517506192819,-6.377399378672117
23,2455,solar,6.581765651702881,8.59453296661377,206.0286711649503,154.99759986920307,247234405.39794037,False,1.0,0.8191449753118931,-36.18832160780285,-7.5642233637369465
24,2279,solar,6.727379322052002,7.801161289215088,247.69747181533717,392.6088137739304,297236966.1784046,False,1.0,0.8177567615273342,-37.60671791623409,-5.8788539443791015
25,1673,solar,6.766046047210693,7.979730606079102,141.46525951356398,792.6048651037115,169758311.41627678,False,1.0,0.81406956697106,-42.04943775390595,-8.645593739583603
26,1980,solar,6.918380260467529,8.302774429321289,349.24504916344,625.5244409548029,419094058.996128,False,1.0,0.8127787611799355,-39.8745778904586,-5.500016259435406
27,2636,solar,6.692605495452881,8.397730827331543,363.5490810754819,113.04984981336517,436258897.2905783,False,1.0,0.810541548665761,-34.849248225850076,-7.081636916926443
28,882,solar,6.414922714233398,6.1772894859313965,74.0364996412277,229.4580295907426,88843799.56947325,False,1.0,0.809954411359629,-47.85013318942378,-13.727530825136395
29,1795,solar,6.743952751159668,8.642099380493164,188.49654271408258,694.5689770223775,226195851.2568991,False,1.0,0.8084727258616585,-41.1700664934524,-7.735009583434078
30,2275,solar,6.429182052612305,8.769181251525879,66.73051307514758,298.400621381184,80076615.6901771,False,1.0,0.8084563801977608,-37.5465952812643,-7.615506060479552
